"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","",""
REQUIRED,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,structured date group,string,string,integer,string,string
REPEATABLE FIELD?,n,n,n,n,n,y,n,n,n,n
REPEATING FIELD GROUP,"","","","","","","","","",""
VALUE SOURCE TYPE,na,authority,authority,authority,na,vocabulary,vocabulary,na,na,na
VALUE SOURCE,"",person/local,organization/local,organization/local,"",DistributionMethod,DistributionReason,"","",""
CSVHEADER,exitNumber,currentOwnerPerson,currentOwnerOrganization,depositor,exitDateGroup,exitMethod,exitReason,count,exitNote,packingNote
