"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,date,string,string,string,string,string,string,string,string,string,date,string,date,string,string,date,string,date,string,string,date,string,string,string,string,string,string,string,date,date,date
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
REPEATING FIELD GROUP,"","","","","","","","","","","","",completenessGroupList < completenessGroup,completenessGroupList < completenessGroup,completenessGroupList < completenessGroup,techAssessmentGroupList < techAssessmentGroup,techAssessmentGroupList < techAssessmentGroup,conditionCheckGroupList < conditionCheckGroup,conditionCheckGroupList < conditionCheckGroup,conditionCheckGroupList < conditionCheckGroup,envConditionNoteGroupList < envConditionNoteGroup,envConditionNoteGroupList < envConditionNoteGroup,"","","","","","",legalReqsHeldGroupList < legalReqsHeldGroup,legalReqsHeldGroupList < legalReqsHeldGroup,legalReqsHeldGroupList < legalReqsHeldGroup,legalReqsHeldGroupList < legalReqsHeldGroup
VALUE SOURCE TYPE,na,na,optionlist,optionlist,authority,authority,authority,authority,na,optionlist,optionlist,na,optionlist,na,na,na,na,optionlist,na,na,na,na,na,na,na,na,na,na,na,na,na,na
VALUE SOURCE,"","","observed, xrayed","cleaning, conservation, damagedintransit, inventory, loanin, newacquisition",person/local,person/shared,organization/local,organization/shared,"","high, low, medium","high, low, medium","","complete, fragmented, incomplete","","","","","exhibitableneedswork, injeopardy, needsnowork, notexhibitablestable","","","","","","","","","","","","","",""
CSVHEADER,conditionCheckRefNumber,conditionCheckAssessmentDate,conditionCheckMethod,conditionCheckReason,conditionCheckerPersonLocal,conditionCheckerPersonShared,conditionCheckerOrganizationLocal,conditionCheckerOrganizationShared,conditionCheckNote,objectAuditCategory,conservationTreatmentPriority,nextConditionCheckDate,completeness,completenessDate,completenessNote,techAssessment,techAssessmentDate,condition,conditionDate,conditionNote,envConditionNote,envConditionNoteDate,displayRecommendations,handlingRecommendations,installationRecommendations,envRecommendations,specialRequirements,legalRequirements,legalReqsHeld,legalReqsHeldBeginDate,legalReqsHeldEndDate,legalReqsHeldRenewDate
