fullname,namespace,field,in_core?,in_anthro?,in_bonsai?,in_botgarden?,in_fcart?,in_herbarium?,in_lhmc?,in_materials?,in_ohc?,in_publicart?
ns2:collectionobjects_common:material,ns2:collectionobjects_common,material,y,y,,,y,y,y,,y,y
ns2:collectionobjects_common:materialComponent,ns2:collectionobjects_common,materialComponent,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:materialComponentNote,ns2:collectionobjects_common,materialComponentNote,y,y,,,y,y,y,,y,y
ns2:collectionobjects_common:materialName,ns2:collectionobjects_common,materialName,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:materialSource,ns2:collectionobjects_common,materialSource,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:measuredBy,ns2:collectionobjects_common,measuredBy,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:measuredPart,ns2:collectionobjects_common,measuredPart,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:measurementMethod,ns2:collectionobjects_common,measurementMethod,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:measurementUnit,ns2:collectionobjects_common,measurementUnit,y,y,y,,y,y,y,y,y,y
ns2:collectionobjects_common:numberOfObjects,ns2:collectionobjects_common,numberOfObjects,y,y,,,y,y,y,y,y,y
ns2:collectionobjects_common:numberType,ns2:collectionobjects_common,numberType,y,y,,,y,y,y,y,y,
ns2:collectionobjects_common:numberValue,ns2:collectionobjects_common,numberValue,y,y,,,y,y,y,y,y,
ns2:collectionobjects_common:objectComponentInformation,ns2:collectionobjects_common,objectComponentInformation,y,y,,,y,,y,,y,
ns2:collectionobjects_common:objectComponentName,ns2:collectionobjects_common,objectComponentName,y,y,,,y,,y,,y,
ns2:collectionobjects_common:objectHistoryNote,ns2:collectionobjects_common,objectHistoryNote,y,y,y,y,y,y,y,,y,
ns2:collectionobjects_common:objectName,ns2:collectionobjects_common,objectName,y,y,,,y,y,y,,y,y
ns2:collectionobjects_common:objectNameCurrency,ns2:collectionobjects_common,objectNameCurrency,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:objectNameLanguage,ns2:collectionobjects_common,objectNameLanguage,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:objectNameLevel,ns2:collectionobjects_common,objectNameLevel,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:objectNameNote,ns2:collectionobjects_common,objectNameNote,y,y,,,y,y,y,,y,y
ns2:collectionobjects_common:objectNameSystem,ns2:collectionobjects_common,objectNameSystem,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:objectNameType,ns2:collectionobjects_common,objectNameType,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:objectNumber,ns2:collectionobjects_common,objectNumber,y,y,y,y,y,y,y,y,y,y
ns2:collectionobjects_common:objectProductionDateGroup,ns2:collectionobjects_common,objectProductionDateGroup,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionNote,ns2:collectionobjects_common,objectProductionNote,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:objectProductionOrganization,ns2:collectionobjects_common,objectProductionOrganization,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionOrganizationRole,ns2:collectionobjects_common,objectProductionOrganizationRole,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionPeople,ns2:collectionobjects_common,objectProductionPeople,y,y,,,y,,y,,y,
ns2:collectionobjects_common:objectProductionPeopleRole,ns2:collectionobjects_common,objectProductionPeopleRole,y,y,,,y,,y,,y,
ns2:collectionobjects_common:objectProductionPerson,ns2:collectionobjects_common,objectProductionPerson,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionPersonRole,ns2:collectionobjects_common,objectProductionPersonRole,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionPlace,ns2:collectionobjects_common,objectProductionPlace,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionPlaceRole,ns2:collectionobjects_common,objectProductionPlaceRole,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:objectProductionReason,ns2:collectionobjects_common,objectProductionReason,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:objectStatus,ns2:collectionobjects_common,objectStatus,y,,,,y,,y,y,,
ns2:collectionobjects_common:owner,ns2:collectionobjects_common,owner,y,,y,y,y,y,y,,,y
ns2:collectionobjects_common:ownersContributionNote,ns2:collectionobjects_common,ownersContributionNote,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:ownershipAccess,ns2:collectionobjects_common,ownershipAccess,y,,,y,y,y,y,,,
ns2:collectionobjects_common:ownershipCategory,ns2:collectionobjects_common,ownershipCategory,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipDateGroup,ns2:collectionobjects_common,ownershipDateGroup,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipExchangeMethod,ns2:collectionobjects_common,ownershipExchangeMethod,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipExchangeNote,ns2:collectionobjects_common,ownershipExchangeNote,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipExchangePriceCurrency,ns2:collectionobjects_common,ownershipExchangePriceCurrency,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipExchangePriceValue,ns2:collectionobjects_common,ownershipExchangePriceValue,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownershipPlace,ns2:collectionobjects_common,ownershipPlace,y,,y,y,y,y,y,,,
ns2:collectionobjects_common:ownersPersonalExperience,ns2:collectionobjects_common,ownersPersonalExperience,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:ownersPersonalResponse,ns2:collectionobjects_common,ownersPersonalResponse,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:ownersReference,ns2:collectionobjects_common,ownersReference,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:phase,ns2:collectionobjects_common,phase,y,y,,y,y,y,y,,y,
ns2:collectionobjects_common:physicalDescription,ns2:collectionobjects_common,physicalDescription,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:publishTo,ns2:collectionobjects_common,publishTo,y,y,y,,y,y,y,y,y,y
ns2:collectionobjects_common:recordStatus,ns2:collectionobjects_common,recordStatus,y,y,y,y,y,,y,y,y,y
ns2:collectionobjects_common:reference,ns2:collectionobjects_common,reference,y,y,y,y,y,y,y,,y,
ns2:collectionobjects_common:referenceNote,ns2:collectionobjects_common,referenceNote,y,y,y,y,y,y,y,,y,
ns2:collectionobjects_common:responsibleDepartment,ns2:collectionobjects_common,responsibleDepartment,y,y,,,y,y,y,,y,y
ns2:collectionobjects_common:sex,ns2:collectionobjects_common,sex,y,y,,y,y,y,y,,y,
ns2:collectionobjects_common:style,ns2:collectionobjects_common,style,y,y,,,y,y,y,,y,
ns2:collectionobjects_common:technicalAttribute,ns2:collectionobjects_common,technicalAttribute,y,y,,,y,y,y,,,
ns2:collectionobjects_common:technicalAttributeMeasurement,ns2:collectionobjects_common,technicalAttributeMeasurement,y,y,,,y,y,y,,,
ns2:collectionobjects_common:technicalAttributeMeasurementUnit,ns2:collectionobjects_common,technicalAttributeMeasurementUnit,y,y,,,y,y,y,,,
ns2:collectionobjects_common:technique,ns2:collectionobjects_common,technique,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:techniqueType,ns2:collectionobjects_common,techniqueType,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:title,ns2:collectionobjects_common,title,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:titleLanguage,ns2:collectionobjects_common,titleLanguage,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:titleTranslation,ns2:collectionobjects_common,titleTranslation,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:titleTranslationLanguage,ns2:collectionobjects_common,titleTranslationLanguage,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:titleType,ns2:collectionobjects_common,titleType,y,y,y,,y,y,y,,y,y
ns2:collectionobjects_common:usage,ns2:collectionobjects_common,usage,y,y,y,y,y,y,y,,y,
ns2:collectionobjects_common:usageNote,ns2:collectionobjects_common,usageNote,y,y,y,y,y,y,y,,y,
ns2:collectionobjects_common:value,ns2:collectionobjects_common,value,y,y,y,,y,y,y,y,y,y
ns2:collectionobjects_common:valueDate,ns2:collectionobjects_common,valueDate,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:valueQualifier,ns2:collectionobjects_common,valueQualifier,y,y,y,,y,y,y,,y,
ns2:collectionobjects_common:viewersContributionNote,ns2:collectionobjects_common,viewersContributionNote,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:viewersPersonalExperience,ns2:collectionobjects_common,viewersPersonalExperience,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:viewersPersonalResponse,ns2:collectionobjects_common,viewersPersonalResponse,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:viewersReference,ns2:collectionobjects_common,viewersReference,y,y,y,,y,,y,,y,
ns2:collectionobjects_common:viewersRole,ns2:collectionobjects_common,viewersRole,y,y,y,,y,,y,,y,
ns2:collectionobjects_culturalcare:culturalCareNote,ns2:collectionobjects_culturalcare,culturalCareNote,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:limitationDetails,ns2:collectionobjects_culturalcare,limitationDetails,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:limitationLevel,ns2:collectionobjects_culturalcare,limitationLevel,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:limitationType,ns2:collectionobjects_culturalcare,limitationType,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:requestDate,ns2:collectionobjects_culturalcare,requestDate,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:requester,ns2:collectionobjects_culturalcare,requester,,y,,,,,y,,y,
ns2:collectionobjects_culturalcare:requestOnBehalfOf,ns2:collectionobjects_culturalcare,requestOnBehalfOf,,y,,,,,y,,y,
ns2:collectionobjects_fineart:catalogLevel,ns2:collectionobjects_fineart,catalogLevel,,,,,y,,,,,
ns2:collectionobjects_fineart:creatorDescription,ns2:collectionobjects_fineart,creatorDescription,,,,,y,,,,,
ns2:collectionobjects_fineart:materialTechniqueDescription,ns2:collectionobjects_fineart,materialTechniqueDescription,,,,,y,,,,,
ns2:collectionobjects_herbarium:habitat,ns2:collectionobjects_herbarium,habitat,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbAssocTaxon,ns2:collectionobjects_herbarium,herbAssocTaxon,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbAssocTaxonCommonName,ns2:collectionobjects_herbarium,herbAssocTaxonCommonName,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbAssocTaxonInteraction,ns2:collectionobjects_herbarium,herbAssocTaxonInteraction,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbCollectionLocationVerbatim,ns2:collectionobjects_herbarium,herbCollectionLocationVerbatim,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbCollectionPlace,ns2:collectionobjects_herbarium,herbCollectionPlace,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbHybridParent,ns2:collectionobjects_herbarium,herbHybridParent,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbHybridParentQualifier,ns2:collectionobjects_herbarium,herbHybridParentQualifier,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenAssertionBy,ns2:collectionobjects_herbarium,herbTypeSpecimenAssertionBy,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenBasionym,ns2:collectionobjects_herbarium,herbTypeSpecimenBasionym,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenKind,ns2:collectionobjects_herbarium,herbTypeSpecimenKind,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenNotes,ns2:collectionobjects_herbarium,herbTypeSpecimenNotes,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenReference,ns2:collectionobjects_herbarium,herbTypeSpecimenReference,,,,,,y,,,,
ns2:collectionobjects_herbarium:herbTypeSpecimenRefPage,ns2:collectionobjects_herbarium,herbTypeSpecimenRefPage,,,,,,y,,,,
ns2:collectionobjects_herbarium:hybridName,ns2:collectionobjects_herbarium,hybridName,,,,,,y,,,,
ns2:collectionobjects_herbarium:labelFooter,ns2:collectionobjects_herbarium,labelFooter,,,,,,y,,,,
ns2:collectionobjects_herbarium:labelHeader,ns2:collectionobjects_herbarium,labelHeader,,,,,,y,,,,
ns2:collectionobjects_herbarium:localName,ns2:collectionobjects_herbarium,localName,,,,,,y,,,,
ns2:collectionobjects_herbarium:localNameLanguage,ns2:collectionobjects_herbarium,localNameLanguage,,,,,,y,,,,
ns2:collectionobjects_herbarium:postToPublic,ns2:collectionobjects_herbarium,postToPublic,,,,,,y,,,,
ns2:collectionobjects_herbarium:sheetCount,ns2:collectionobjects_herbarium,sheetCount,,,,,,y,,,,
ns2:collectionobjects_herbarium:sheetNumber,ns2:collectionobjects_herbarium,sheetNumber,,,,,,y,,,,
ns2:collectionobjects_materials:condition,ns2:collectionobjects_materials,condition,,,,,,,,y,,
ns2:collectionobjects_materials:conditionNote,ns2:collectionobjects_materials,conditionNote,,,,,,,,y,,
ns2:collectionobjects_materials:container,ns2:collectionobjects_materials,container,,,,,,,,y,,
ns2:collectionobjects_materials:containerNote,ns2:collectionobjects_materials,containerNote,,,,,,,,y,,
ns2:collectionobjects_materials:finish,ns2:collectionobjects_materials,finish,,,,,,,,y,,
ns2:collectionobjects_materials:finishNote,ns2:collectionobjects_materials,finishNote,,,,,,,,y,,
ns2:collectionobjects_materials:handling,ns2:collectionobjects_materials,handling,,,,,,,,y,,
ns2:collectionobjects_materials:handlingNote,ns2:collectionobjects_materials,handlingNote,,,,,,,,y,,
ns2:collectionobjects_materials:materialGenericColor,ns2:collectionobjects_materials,materialGenericColor,,,,,,,,y,,
ns2:collectionobjects_materials:materialPhysicalDescription,ns2:collectionobjects_materials,materialPhysicalDescription,,,,,,,,y,,
ns2:collectionobjects_nagpra:graveAssocCode,ns2:collectionobjects_nagpra,graveAssocCode,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraCategory,ns2:collectionobjects_nagpra,nagpraCategory,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraCulturalDetermination,ns2:collectionobjects_nagpra,nagpraCulturalDetermination,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraInventoryName,ns2:collectionobjects_nagpra,nagpraInventoryName,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraReportFiled,ns2:collectionobjects_nagpra,nagpraReportFiled,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraReportFiledBy,ns2:collectionobjects_nagpra,nagpraReportFiledBy,,y,,,,,,,y,
ns2:collectionobjects_nagpra:nagpraReportFiledDate,ns2:collectionobjects_nagpra,nagpraReportFiledDate,,y,,,,,,,y,
ns2:collectionobjects_nagpra:repatriationNote,ns2:collectionobjects_nagpra,repatriationNote,,y,,,,,,,y,
ns2:collectionobjects_naturalhistory_extension:affinityTaxon,ns2:collectionobjects_naturalhistory_extension,affinityTaxon,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:associatedTaxon,ns2:collectionobjects_naturalhistory_extension,associatedTaxon,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:commonName,ns2:collectionobjects_naturalhistory_extension,commonName,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:coordPrecision,ns2:collectionobjects_naturalhistory_extension,coordPrecision,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:coordUncertainty,ns2:collectionobjects_naturalhistory_extension,coordUncertainty,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:coordUncertaintyUnit,ns2:collectionobjects_naturalhistory_extension,coordUncertaintyUnit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:decimalLatitude,ns2:collectionobjects_naturalhistory_extension,decimalLatitude,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:decimalLongitude,ns2:collectionobjects_naturalhistory_extension,decimalLongitude,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:depthUnit,ns2:collectionobjects_naturalhistory_extension,depthUnit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:determinationBy,ns2:collectionobjects_naturalhistory_extension,determinationBy,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationDateGroup,ns2:collectionobjects_naturalhistory_extension,determinationDateGroup,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationInstitution,ns2:collectionobjects_naturalhistory_extension,determinationInstitution,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationKind,ns2:collectionobjects_naturalhistory_extension,determinationKind,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationNote,ns2:collectionobjects_naturalhistory_extension,determinationNote,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationQualifier,ns2:collectionobjects_naturalhistory_extension,determinationQualifier,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationReference,ns2:collectionobjects_naturalhistory_extension,determinationReference,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationRefPage,ns2:collectionobjects_naturalhistory_extension,determinationRefPage,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:determinationTaxon,ns2:collectionobjects_naturalhistory_extension,determinationTaxon,,,,,,y,,,,
ns2:collectionobjects_naturalhistory_extension:distanceAboveSurfaceUnit,ns2:collectionobjects_naturalhistory_extension,distanceAboveSurfaceUnit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:elevationUnit,ns2:collectionobjects_naturalhistory_extension,elevationUnit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocCountry,ns2:collectionobjects_naturalhistory_extension,fieldLocCountry,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocCounty,ns2:collectionobjects_naturalhistory_extension,fieldLocCounty,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocHigherGeography,ns2:collectionobjects_naturalhistory_extension,fieldLocHigherGeography,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocPlace,ns2:collectionobjects_naturalhistory_extension,fieldLocPlace,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocState,ns2:collectionobjects_naturalhistory_extension,fieldLocState,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:fieldLocVerbatim,ns2:collectionobjects_naturalhistory_extension,fieldLocVerbatim,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:footprintSpatialFit,ns2:collectionobjects_naturalhistory_extension,footprintSpatialFit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:footprintSRS,ns2:collectionobjects_naturalhistory_extension,footprintSRS,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:footprintWKT,ns2:collectionobjects_naturalhistory_extension,footprintWKT,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geodeticDatum,ns2:collectionobjects_naturalhistory_extension,geodeticDatum,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefDateGroup,ns2:collectionobjects_naturalhistory_extension,geoRefDateGroup,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefencedBy,ns2:collectionobjects_naturalhistory_extension,geoRefencedBy,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefPlaceName,ns2:collectionobjects_naturalhistory_extension,geoRefPlaceName,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefProtocol,ns2:collectionobjects_naturalhistory_extension,geoRefProtocol,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefRemarks,ns2:collectionobjects_naturalhistory_extension,geoRefRemarks,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefSource,ns2:collectionobjects_naturalhistory_extension,geoRefSource,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:geoRefVerificationStatus,ns2:collectionobjects_naturalhistory_extension,geoRefVerificationStatus,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:hybridFlag,ns2:collectionobjects_naturalhistory_extension,hybridFlag,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:identBy,ns2:collectionobjects_naturalhistory_extension,identBy,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:identDateGroup,ns2:collectionobjects_naturalhistory_extension,identDateGroup,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:identKind,ns2:collectionobjects_naturalhistory_extension,identKind,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:institution,ns2:collectionobjects_naturalhistory_extension,institution,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:interaction,ns2:collectionobjects_naturalhistory_extension,interaction,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:localityNote,ns2:collectionobjects_naturalhistory_extension,localityNote,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:localitySource,ns2:collectionobjects_naturalhistory_extension,localitySource,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:localitySourceDetail,ns2:collectionobjects_naturalhistory_extension,localitySourceDetail,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:maxDepth,ns2:collectionobjects_naturalhistory_extension,maxDepth,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:maxDistanceAboveSurface,ns2:collectionobjects_naturalhistory_extension,maxDistanceAboveSurface,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:maxElevation,ns2:collectionobjects_naturalhistory_extension,maxElevation,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:minDepth,ns2:collectionobjects_naturalhistory_extension,minDepth,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:minDistanceAboveSurface,ns2:collectionobjects_naturalhistory_extension,minDistanceAboveSurface,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:minElevation,ns2:collectionobjects_naturalhistory_extension,minElevation,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:notes,ns2:collectionobjects_naturalhistory_extension,notes,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:pointRadiusSpatialFit,ns2:collectionobjects_naturalhistory_extension,pointRadiusSpatialFit,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:qualifier,ns2:collectionobjects_naturalhistory_extension,qualifier,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:reference,ns2:collectionobjects_naturalhistory_extension,reference,,y,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:refPage,ns2:collectionobjects_naturalhistory_extension,refPage,,y,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:taxon,ns2:collectionobjects_naturalhistory_extension,taxon,,y,,y,,,,,y,
ns2:collectionobjects_naturalhistory_extension:taxonomicIdentHybridParent,ns2:collectionobjects_naturalhistory_extension,taxonomicIdentHybridParent,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:taxonomicIdentHybridParentQualifier,ns2:collectionobjects_naturalhistory_extension,taxonomicIdentHybridParentQualifier,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:taxonomicRange,ns2:collectionobjects_naturalhistory_extension,taxonomicRange,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenAssertionBy,ns2:collectionobjects_naturalhistory_extension,typeSpecimenAssertionBy,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenBasionym,ns2:collectionobjects_naturalhistory_extension,typeSpecimenBasionym,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenKind,ns2:collectionobjects_naturalhistory_extension,typeSpecimenKind,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenNotes,ns2:collectionobjects_naturalhistory_extension,typeSpecimenNotes,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenReference,ns2:collectionobjects_naturalhistory_extension,typeSpecimenReference,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:typeSpecimenRefPage,ns2:collectionobjects_naturalhistory_extension,typeSpecimenRefPage,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vCoordinates,ns2:collectionobjects_naturalhistory_extension,vCoordinates,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vCoordSys,ns2:collectionobjects_naturalhistory_extension,vCoordSys,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vDepth,ns2:collectionobjects_naturalhistory_extension,vDepth,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vDistanceAboveSurface,ns2:collectionobjects_naturalhistory_extension,vDistanceAboveSurface,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vegetationType,ns2:collectionobjects_naturalhistory_extension,vegetationType,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vElevation,ns2:collectionobjects_naturalhistory_extension,vElevation,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vLatitude,ns2:collectionobjects_naturalhistory_extension,vLatitude,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vLongitude,ns2:collectionobjects_naturalhistory_extension,vLongitude,,,,y,,,,,,
ns2:collectionobjects_naturalhistory_extension:vOtherCoords,ns2:collectionobjects_naturalhistory_extension,vOtherCoords,,,,y,,,,,,
ns2:collectionobjects_ohc:apparelSize,ns2:collectionobjects_ohc,apparelSize,,,,,,,,,y,
ns2:collectionobjects_ohc:category,ns2:collectionobjects_ohc,category,,,,,,,,,y,
ns2:collectionobjects_ohc:descriptionLevel,ns2:collectionobjects_ohc,descriptionLevel,,,,,,,,,y,
ns2:collectionobjects_ohc:majorTaxon,ns2:collectionobjects_ohc,majorTaxon,,,,,,,,,y,
ns2:collectionobjects_ohc:namedCollection,ns2:collectionobjects_ohc,namedCollection,,,,,,,,,y,
ns2:collectionobjects_ohc:namedTimePeriod,ns2:collectionobjects_ohc,namedTimePeriod,,,,,,,,,y,
ns2:collectionobjects_ohc:oaiCollectionPlace,ns2:collectionobjects_ohc,oaiCollectionPlace,,,,,,,,,y,
ns2:collectionobjects_ohc:oaiLocVerbatim,ns2:collectionobjects_ohc,oaiLocVerbatim,,,,,,,,,y,
ns2:collectionobjects_ohc:subCategory,ns2:collectionobjects_ohc,subCategory,,,,,,,,,y,
ns2:collectionobjects_publicart:publicartCollection,ns2:collectionobjects_publicart,publicartCollection,,,,,,,,,,y
ns2:collectionobjects_publicart:publicartProductionDate,ns2:collectionobjects_publicart,publicartProductionDate,,,,,,,,,,y
ns2:collectionobjects_publicart:publicartProductionDateType,ns2:collectionobjects_publicart,publicartProductionDateType,,,,,,,,,,y
ns2:collectionobjects_publicart:publicartProductionPerson,ns2:collectionobjects_publicart,publicartProductionPerson,,,,,,,,,,y
ns2:collectionobjects_publicart:publicartProductionPersonRole,ns2:collectionobjects_publicart,publicartProductionPersonRole,,,,,,,,,,y
ns2:collectionobjects_publicart:publicartProductionPersonType,ns2:collectionobjects_publicart,publicartProductionPersonType,,,,,,,,,,y
ns2:collectionobjects_variablemedia:authoringEnvironment,ns2:collectionobjects_variablemedia,authoringEnvironment,,,,,y,,,,,
ns2:collectionobjects_variablemedia:colorPalette,ns2:collectionobjects_variablemedia,colorPalette,,,,,y,,,,,
ns2:collectionobjects_variablemedia:compressionSystem,ns2:collectionobjects_variablemedia,compressionSystem,,,,,y,,,,,
ns2:collectionobjects_variablemedia:contentWork,ns2:collectionobjects_variablemedia,contentWork,,,,,y,,,,,
ns2:collectionobjects_variablemedia:contentWorkNote,ns2:collectionobjects_variablemedia,contentWorkNote,,,,,y,,,,,
ns2:collectionobjects_variablemedia:contentWorkType,ns2:collectionobjects_variablemedia,contentWorkType,,,,,y,,,,,
