profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateNote,Acquisition Information,Accession date,Note,accessionDateGroup,dateNote,string,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Acquisition Information,Accession date,Earliest/single year,accessionDateGroup,dateEarliestSingleYear,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Acquisition Information,Accession date,Earliest/single month,accessionDateGroup,dateEarliestSingleMonth,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleDay,Acquisition Information,Accession date,Earliest/single day,accessionDateGroup,dateEarliestSingleDay,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleEra,Acquisition Information,Accession date,Earliest/single era,accessionDateGroup,dateEarliestSingleEra,string,n,n,n,vocabulary: dateera,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleCertainty,Acquisition Information,Accession date,Earliest/single certainty,accessionDateGroup,dateEarliestSingleCertainty,string,n,n,n,vocabulary: datecertainty,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Accession date,Earliest/single qualifier,accessionDateGroup,dateEarliestSingleQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierValue,Acquisition Information,Accession date,Earliest/single qualifier value,accessionDateGroup,dateEarliestSingleQualifierValue,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierUnit,Acquisition Information,Accession date,Earliest/single qualifier unit,accessionDateGroup,dateEarliestSingleQualifierUnit,string,n,n,n,vocabulary: datequalifier,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestYear,Acquisition Information,Accession date,Latest year,accessionDateGroup,dateLatestYear,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestMonth,Acquisition Information,Accession date,Latest month,accessionDateGroup,dateLatestMonth,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestDay,Acquisition Information,Accession date,Latest day,accessionDateGroup,dateLatestDay,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestEra,Acquisition Information,Accession date,Latest era,accessionDateGroup,dateLatestEra,string,n,n,n,vocabulary: dateera,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestCertainty,Acquisition Information,Accession date,Latest certainty,accessionDateGroup,dateLatestCertainty,string,n,n,n,vocabulary: datecertainty,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Accession date,Latest qualifier,accessionDateGroup,dateLatestQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierValue,Acquisition Information,Accession date,Latest qualifier value,accessionDateGroup,dateLatestQualifierValue,integer,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierUnit,Acquisition Information,Accession date,Latest qualifier unit,accessionDateGroup,dateLatestQualifierUnit,string,n,n,n,vocabulary: datequalifier,"",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestScalarValue,Acquisition Information,Accession date,Earliest represented date,accessionDateGroup,dateEarliestScalarValue,string,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestScalarValue,Acquisition Information,Accession date,Latest represented date,accessionDateGroup,dateLatestScalarValue,string,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.scalarValuesComputed,Acquisition Information,Accession date,Represented dates computed,accessionDateGroup,scalarValuesComputed,boolean,n,n,n,"","",not in publicart_2-0-1
ocma_6-1-0,citation,ns2:citations_omca,ns2:citations_omca,citations_omca.publicationType,Citation Information,"",Publication type,"",publicationType,string,n,n,n/a,vocabulary: publicationtype,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusCount,Object Identification Information,"",Argus count,"",argusCount,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.art,Object Identification Information,"",Art,"",art,boolean,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.history,Object Identification Information,"",History,"",history,boolean,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.science,Object Identification Information,"",Science,"",science,boolean,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.ipAudit,Object Identification Information,"",IP audit,"",ipAudit,string,n,n,n/a,vocabulary: ipaudit,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.copyrightHolder,Object Identification Information,"",Copyright holder,"",copyrightHolder,string,n,n,n/a,authority: person/local; authority: organization/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.photo,Object Identification Information,"",Photo,photos,photo,string,n,y,n,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.doNotPublishOnWeb,Object Identification Information,"",Do not publish on the web,"",doNotPublishOnWeb,boolean,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.dhName,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification scientific name,determinationHistoryGroupList > determinationHistoryGroup,dhName,string,n,n,y,authority: taxon/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.dhQualifier,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification qualifier,determinationHistoryGroupList > determinationHistoryGroup,dhQualifier,string,n,n,y,vocabulary: determinationQualifier,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.identBy,Object Identification Information,Determination history > Identification by,Taxonomic identification by,determinationHistoryGroupList > determinationHistoryGroup,identBy,string,n,n,y,authority: person/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.identDate,Object Identification Information,Determination history > Identification by,Taxonomic identification date,determinationHistoryGroupList > determinationHistoryGroup,identDate,date,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.institution,Object Identification Information,Determination history > Identification by,Taxonomic identification institution,determinationHistoryGroupList > determinationHistoryGroup,institution,string,n,n,y,authority: organization/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.identKind,Object Identification Information,Determination history,Taxonomic identification kind,determinationHistoryGroupList > determinationHistoryGroup,identKind,string,n,n,y,vocabulary: determinationKind,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.dhReference,Object Identification Information,Determination history > Reference,Taxonomic identification reference source,determinationHistoryGroupList > determinationHistoryGroup,dhReference,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.dhPage,Object Identification Information,Determination history > Reference,Taxonomic identification reference page,determinationHistoryGroupList > determinationHistoryGroup,dhPage,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.dhNotes,Object Identification Information,Determination history,Taxonomic identification note,determinationHistoryGroupList > determinationHistoryGroup,dhNotes,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.style,Object Description Information,"",Style,styles,style,string,n,y,n,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusDescription,Object Description Information,"",Material/technique summary,"",argusDescription,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,vocabulary: sex,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,vocabulary: phase,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,vocabulary: form,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.accessory,Object Description Information,"",Accessory,"",accessory,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectComponentName,Object Description Information,Object component,Object component name,objectComponentGroupList > objectComponentGroup,objectComponentName,string,n,n,y,vocabulary: objectcomponentname,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectComponentInformation,Object Description Information,Object component,Object component information,objectComponentGroupList > objectComponentGroup,objectComponentInformation,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusRemarks,Object Description Information,"",Argus remarks,"",argusRemarks,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusSubject,Object Description Information,Content,Argus subject,"",argusSubject,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.signatureOMCA,Object Description Information,Content,Signature,"",signatureOMCA,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.inscriptionOMCA,Object Description Information,Content,Inscription,"",inscriptionOMCA,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusMade,Object Production Information,"",Argus made,"",argusMade,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocObject,Object History and Association Information,Associations > Associated object,Associated object,assocObjectGroupList > assocObjectGroup,assocObject,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocObjectType,Object History and Association Information,Associations > Associated object,Associated object type,assocObjectGroupList > assocObjectGroup,assocObjectType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocObjectNote,Object History and Association Information,Associations > Associated object,Associated object note,assocObjectGroupList > assocObjectGroup,assocObjectNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocConcept,Object History and Association Information,Associations > Associated concept,Associated concept,assocConceptGroupList > assocConceptGroup,assocConcept,string,n,n,y,authority: concept/associated,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocConceptType,Object History and Association Information,Associations > Associated concept,Associated concept type,assocConceptGroupList > assocConceptGroup,assocConceptType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocConceptNote,Object History and Association Information,Associations > Associated concept,Associated concept note,assocConceptGroupList > assocConceptGroup,assocConceptNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocCulturalContext,Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity,assocCulturalContextGroupList > assocCulturalContextGroup,assocCulturalContext,string,n,n,y,authority: concept/associated,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocCulturalContextType,Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity type,assocCulturalContextGroupList > assocCulturalContextGroup,assocCulturalContextType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocCulturalContextNote,Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity note,assocCulturalContextGroupList > assocCulturalContextGroup,assocCulturalContextNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocOrganization,Object History and Association Information,Associations > Associated organization,Associated organization,assocOrganizationGroupList > assocOrganizationGroup,assocOrganization,string,n,n,y,authority: organization/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocOrganizationType,Object History and Association Information,Associations > Associated organization,Associated organization type,assocOrganizationGroupList > assocOrganizationGroup,assocOrganizationType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocOrganizationNote,Object History and Association Information,Associations > Associated organization,Associated organization note,assocOrganizationGroupList > assocOrganizationGroup,assocOrganizationNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPerson,Object History and Association Information,Associations > Associated person,Associated person,assocPersonGroupList > assocPersonGroup,assocPerson,string,n,n,y,authority: person/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPersonType,Object History and Association Information,Associations > Associated person,Associated person type,assocPersonGroupList > assocPersonGroup,assocPersonType,string,n,n,y,"","",not in publicart_2-0-1
