"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,boolean,string,string,structured date group,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,float,float,float,float,float,string,string,float,float,string,integer,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,structured date group,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,structured date group,string,string,string,string,string,string,structured date group,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,y,y,n
REPEATING FIELD GROUP,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,placeTermGroupList < placeTermGroup,"","",placeOwnerGroupList < placeOwnerGroup,placeOwnerGroupList < placeOwnerGroup,placeOwnerGroupList < placeOwnerGroup,placeOwnerGroupList < placeOwnerGroup,"",addrGroupList < addrGroup,addrGroupList < addrGroup,addrGroupList < addrGroup,addrGroupList < addrGroup,addrGroupList < addrGroup,addrGroupList < addrGroup,addrGroupList < addrGroup,"","","","","","","","","","","","","","","","","",placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,placeGeoRefGroupList < placeGeoRefGroup,assocPersonAuthGroupList < assocPersonAuthGroup,assocPersonAuthGroupList < assocPersonAuthGroup,assocPersonAuthGroupList < assocPersonAuthGroup,assocPersonAuthGroupList < assocPersonAuthGroup < assocPersonCitations,assocPersonAuthGroupList < assocPersonAuthGroup < assocPersonCitations,assocPersonAuthGroupList < assocPersonAuthGroup,assocPeopleAuthGroupList < assocPeopleAuthGroup,assocPeopleAuthGroupList < assocPeopleAuthGroup,assocPeopleAuthGroupList < assocPeopleAuthGroup,assocPeopleAuthGroupList < assocPeopleAuthGroup < assocPeopleCitations,assocPeopleAuthGroupList < assocPeopleAuthGroup < assocPeopleCitations,assocPeopleAuthGroupList < assocPeopleAuthGroup,assocOrganizationAuthGroupList < assocOrganizationAuthGroup,assocOrganizationAuthGroupList < assocOrganizationAuthGroup,assocOrganizationAuthGroupList < assocOrganizationAuthGroup,assocOrganizationAuthGroupList < assocOrganizationAuthGroup < assocOrganizationCitations,assocOrganizationAuthGroupList < assocOrganizationAuthGroup < assocOrganizationCitations,assocOrganizationAuthGroupList < assocOrganizationAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup,assocConceptAuthGroupList < assocConceptAuthGroup < assocConceptCitations,assocConceptAuthGroupList < assocConceptAuthGroup < assocConceptCitations,assocConceptAuthGroupList < assocConceptAuthGroup,assocPlaceAuthGroupList < assocPlaceAuthGroup,assocPlaceAuthGroupList < assocPlaceAuthGroup,assocPlaceAuthGroupList < assocPlaceAuthGroup,assocPlaceAuthGroupList < assocPlaceAuthGroup < assocPlaceCitations,assocPlaceAuthGroupList < assocPlaceAuthGroup < assocPlaceCitations,assocPlaceAuthGroupList < assocPlaceAuthGroup,assocChronologyAuthGroupList < assocChronologyAuthGroup,assocChronologyAuthGroupList < assocChronologyAuthGroup,assocChronologyAuthGroupList < assocChronologyAuthGroup,assocChronologyAuthGroupList < assocChronologyAuthGroup,assocChronologyAuthGroupList < assocChronologyAuthGroup < assocChronologyCitations,assocChronologyAuthGroupList < assocChronologyAuthGroup < assocChronologyCitations,assocChronologyAuthGroupList < assocChronologyAuthGroup
VALUE SOURCE TYPE,na,na,na,optionlist,optionlist,vocabulary,optionlist,vocabulary,na,na,na,na,na,na,na,na,vocabulary,na,authority,authority,na,na,na,na,na,authority,authority,na,authority,vocabulary,na,na,na,optionlist,optionlist,na,na,na,optionlist,na,na,na,na,na,na,na,na,na,na,optionlist,na,na,na,na,na,na,authority,authority,na,optionlist,na,optionlist,na,na,authority,vocabulary,na,authority,authority,na,authority,vocabulary,na,authority,authority,na,authority,vocabulary,na,authority,authority,na,authority,authority,authority,vocabulary,na,authority,authority,na,authority,vocabulary,na,authority,authority,na,authority,authority,vocabulary,na,authority,authority,na
VALUE SOURCE,"","","","accepted, provisional, rejected, under review","Reverse Qualified Name, Short Name, Synonym, Unverified Geographic Name, Verified Geographic Name",placetermflag,"both, current, historical, unknown",languages,"","","","","","","","",placetype,"",person/local,organization/local,"","","","","",place/local,place/local,"",place/local,addresstype,"","","","altitude-depth, latitude-longitude, national-grid-reference, utm","epsg4267-nad27, epsg4269-nad83, epsg4326-wgs84, unknown","","","","acres, centimeters, feet, hectares, inches, kilometers, meters, miles, millimeters, square-feet, square-meters, square-yards, stories","","","","","","","","","","","ADG66, NAD27, NAD83, NAD83&amp;WGS84, Not Recorded, WGS84","","","","","","",person/local,organization/local,"","biogeomancer, chapman-wieczorek-2006-guide-best-practices-georeferencing, georeferencing-dummies, manis-herpnet-ornis-georeferencing-guidelines","","unverified, verified-contributor, verified-data-custodian","","",person/local,assocauthorityrelationtype,"",citation/local,citation/worldcat,"",concept/associated,assocauthorityrelationtype,"",citation/local,citation/worldcat,"",organization/local,assocauthorityrelationtype,"",citation/local,citation/worldcat,"",concept/associated,concept/nomenclature,concept/occasion,assocauthorityrelationtype,"",citation/local,citation/worldcat,"",place/local,assocauthorityrelationtype,"",citation/local,citation/worldcat,"",chronology/era,chronology/event,assocauthorityrelationtype,"",citation/local,citation/worldcat,""
CSVHEADER,termDisplayName,termName,termQualifier,termStatus,termType,termFlag,historicalStatus,termLanguage,termPrefForLang,nameAbbrev,nameNote,nameDateGroup,termSource,termSourceDetail,termSourceID,termSourceNote,placeType,placeSource,ownerPerson,ownerOrganization,ownershipDateGroup,ownershipNote,placeNote,addressPlace1,addressPlace2,addressMunicipality,addressStateOrProvince,addressPostCode,addressCountry,addressType,vCoordinates,vLatitude,vLongitude,vCoordSys,vSpatialReferenceSystem,vElevation,vDepth,vDistanceAboveSurface,vUnitofMeasure,minElevationInMeters,maxElevationInMeters,minDepthInMeters,maxDepthInMeters,minDistanceAboveSurfaceInMeters,maxDistanceAboveSurfaceInMeters,vCoordSource,vCoordSourceRefId,decimalLatitude,decimalLongitude,geodeticDatum,coordUncertaintyInMeters,coordPrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,geoReferencedByPerson,geoReferencedByOrganization,geoRefDateGroup,geoRefProtocol,geoRefSource,geoRefVerificationStatus,geoRefRemarks,geoRefPlaceName,assocPerson,assocPersonType,assocPersonStructuredDateGroup,assocPersonCitationLocal,assocPersonCitationWorldcat,assocPersonNote,assocPeople,assocPeopleType,assocPeopleStructuredDateGroup,assocPeopleCitationLocal,assocPeopleCitationWorldcat,assocPeopleNote,assocOrganization,assocOrganizationType,assocOrganizationStructuredDateGroup,assocOrganizationCitationLocal,assocOrganizationCitationWorldcat,assocOrganizationNote,assocConceptAssociated,assocConceptNomenclature,assocConceptOccasion,assocConceptType,assocConceptStructuredDateGroup,assocConceptCitationLocal,assocConceptCitationWorldcat,assocConceptNote,assocPlace,assocPlaceType,assocPlaceStructuredDateGroup,assocPlaceCitationLocal,assocPlaceCitationWorldcat,assocPlaceNote,assocChronologyEra,assocChronologyEvent,assocChronologyType,assocChronologyStructuredDateGroup,assocChronologyCitationLocal,assocChronologyCitationWorldcat,assocChronologyNote
