"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,boolean,string,string,string,string,date,date,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,string,string,date,string,string,string,string,string,string,string,string,string,string,string,string,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,integer,string,string,string,string,string,string,string,string,string,string,structured date group
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,y,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,n,n,n/a,n,n,n,n/a,n/a,n/a,y,y,y,y,y,n/a,n/a,n/a,n/a,n,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,y,y,y,n/a,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y,y,y,y,n/a,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n,n,n,n,n/a,y,y,y,n/a,y,y,n,n,n,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,n/a,n/a,n/a,n/a,n,n/a,y,y,y,n/a,n,n/a,n/a,n,n,n,n/a,n/a,y,y,y,y,y,y,y,y,y,n/a,n,n/a,y,y,y,y,y,y,y,y,n/a
VALUE SOURCE,"",taxonomyauthority/taxon,taxonomyauthority/common_ta,"","","","development, display, library-collection, permanent-collection, study-collection, teaching-collection",workauthorities/work,"approved, in-process, new, temporary","","","",vocabulary: publishto,vocabulary: inventorystatus,"","","",personauthorities/person,personauthorities/ulan_pa,locationauthorities/location,locationauthorities/offsite_sla,orgauthorities/organization,"",vocabulary: languages,"assigned-by-artist, collection, generic, popular, series, trade","",vocabulary: languages,"",vocabulary: potstyle,vocabulary: treetype,"","","base, frame, framed, image-size, mount, paper-size, plate-size, unframed","","area, base, circumference, count, depth, diameter, height, length, running-time, target, volume, weight, width",personauthorities/person,orgauthorities/organization,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station","","carats, centimeters, cubic-centimeters, feet, inches, kilograms, liters, meters, millimeters, minutes, ounces, pixels, pounds, square-feet, stories, tons","","",vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,vocabulary: floweringstatus,"","","","","","","","","","","","","",vocabulary: languages,"",conceptauthorities/concept,conceptauthorities/material_ca,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","","food, furniture","",personauthorities/person,personauthorities/ulan_pa,placeauthorities/place,placeauthorities/tgn_place,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",orgauthorities/organization,orgauthorities/ulan_oa,"","","","","","",personauthorities/person,orgauthorities/organization,vocabulary: languages,"","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals","brand, decoration, estate-stamp, graffiti, label, maker's-mark","","","","","",personauthorities/person,orgauthorities/organization,"","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","brand, decoration, estate-stamp, graffiti, label, maker's-mark","","","","","",placeauthorities/place,placeauthorities/tgn_place,"","",personauthorities/person,"",orgauthorities/organization,"","","","","","","","",conceptauthorities/concept,"","","","","",orgauthorities/organization,"","","","","",personauthorities/person,"","","","","","","",orgauthorities/organization,"",personauthorities/person,"","","","","","","","",personauthorities/person,orgauthorities/organization,"","company, private, public","","bequest, exchange, gift, purchase, transfer, treasure","",vocabulary: currency,"","","","","","","","","","",citationauthorities/citation,citationauthorities/worldcat,"","",vocabulary: collectionmethod,placeauthorities/place,placeauthorities/tgn_place,personauthorities/person,personauthorities/person,orgauthorities/organization,"","","","lender, obsolete, previous, serial, unknown","","archaic, current","group, subgroup","art-and-architecture-thesaurus, nomenclature","classified, denomination, simple, taxonomic, typological",vocabulary: languages,"","","antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings","","","","","","","magnetic-tape-type, record-speed","78, metal",rpm,""
CSVHEADER,objectNumber,taxonLocal,taxonCommon,commonName,japaneseName,nativeSpecies,collection,namedCollection,recordStatus,sponsor,sponsorStartDate,sponsorEndDate,publishTo,inventoryStatus,briefDescription,distinguishingFeatures,comment,assignedVolunteerLocal,assignedVolunteerUlan,computedCurrentLocationLocationLocal,computedCurrentLocationLocationOffsite,computedCurrentLocationOrganization,title,titleLanguage,titleType,titleTranslation,titleTranslationLanguage,copyNumber,potStyle,treeType,physicalDescription,color,measuredPart,dimensionSummary,dimension,measuredByPerson,measuredByOrganization,measurementMethod,value,measurementUnit,valueQualifier,valueDate,flowersJan,flowersFeb,flowersMar,flowersApr,flowersMay,flowersJun,flowersJul,flowersAug,flowersSep,flowersOct,flowersNov,flowersDec,fruitsJan,fruitsFeb,fruitsMar,fruitsApr,fruitsMay,fruitsJun,fruitsJul,fruitsAug,fruitsSep,fruitsOct,fruitsNov,fruitsDec,contentDescription,contentLanguage,contentActivity,contentConceptAssociated,contentConceptMaterial,contentPosition,contentObject,contentObjectType,contentPeople,contentPersonLocal,contentPersonUlan,contentPlaceLocal,contentPlaceTgn,contentScript,contentOrganizationLocal,contentOrganizationUlan,contentEventName,contentEventNameType,contentOther,contentOtherType,contentNote,inscriptionContent,inscriptionContentInscriberPerson,inscriptionContentInscriberOrganization,inscriptionContentLanguage,inscriptionContentDateGroup,inscriptionContentPosition,inscriptionContentScript,inscriptionContentType,inscriptionContentMethod,inscriptionContentInterpretation,inscriptionContentTranslation,inscriptionContentTransliteration,inscriptionDescription,inscriptionDescriptionInscriberPerson,inscriptionDescriptionInscriberOrganization,inscriptionDescriptionDateGroup,inscriptionDescriptionPosition,inscriptionDescriptionType,inscriptionDescriptionMethod,inscriptionDescriptionInterpretation,objectProductionDateGroup,technique,techniqueType,objectProductionPlaceLocal,objectProductionPlaceTgn,objectProductionPlaceRole,objectProductionReason,objectProductionPerson,objectProductionPersonRole,objectProductionOrganization,objectProductionOrganizationRole,objectProductionNote,assocActivity,assocActivityType,assocActivityNote,assocObject,assocObjectType,assocObjectNote,assocConcept,assocConceptType,assocConceptNote,assocCulturalContext,assocCulturalContextType,assocCulturalContextNote,assocOrganization,assocOrganizationType,assocOrganizationNote,assocPeople,assocPeopleType,assocPeopleNote,assocPerson,assocPersonType,assocPersonNote,assocPlace,assocPlaceType,assocPlaceNote,assocEventName,assocEventNameType,assocEventOrganization,assocEventPeople,assocEventPerson,assocEventPlace,assocEventNote,assocStructuredDateGroup,assocDateType,assocDateNote,objectHistoryNote,usage,usageNote,ownerPerson,ownerOrganization,ownershipDateGroup,ownershipCategory,ownershipPlace,ownershipExchangeMethod,ownershipExchangeNote,ownershipExchangePriceCurrency,ownershipExchangePriceValue,ownersPersonalExperience,ownersPersonalResponse,ownersReference,ownersContributionNote,viewersRole,viewersPersonalExperience,viewersPersonalResponse,viewersReference,viewersContributionNote,referenceLocal,referenceWorldcat,referenceNote,fieldCollectionDateGroup,fieldCollectionMethod,fieldCollectionPlaceLocal,fieldCollectionPlaceTgn,fieldCollectionSource,fieldCollectorPerson,fieldCollectorOrganization,fieldCollectionFeature,fieldCollectionNote,numberValue,numberType,objectName,objectNameCurrency,objectNameLevel,objectNameSystem,objectNameType,objectNameLanguage,objectNameNote,numberOfObjects,responsibleDepartment,editionNumber,material,materialComponent,materialComponentNote,materialName,materialSource,technicalAttribute,technicalAttributeMeasurement,technicalAttributeMeasurementUnit,contentDateGroup
