profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
materials_2_0_0,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.obligationsFulfilled,Use of Collections Information,"",Obligations fulfilled,"",obligationsFulfilled,boolean,n,n,n/a,"","",not in materials_1_0_5
materials_1_0_5,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactName,Organization Information,"",Contact name,contactNames,contactName,string,n,y,n,authority: person/local,"",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizedBy,Use of Collections Information,Authorization,Authorized by,"",authorizedBy,string,n,n,n/a,authority: person/local; authority: person/shared,"",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizationDate,Use of Collections Information,Authorization,Date,"",authorizationDate,date,n,n,n/a,"","",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.authorizationNote,Use of Collections Information,Authorization,Authorization note,"",authorizationNote,string,n,n,n/a,"","",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.startSingleDate,Use of Collections Information,"",Start/single date,"",startSingleDate,date,n,n,n/a,"","",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.userType,Use of Collections Information,User,User type,userGroupList > userGroup,userType,string,n,n,y,vocabulary: uocusertypes,"",not in materials_2_0_0
materials_1_0_5,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.location,Use of Collections Information,"",Location,"",location,string,n,n,n/a,authority: organization/local; authority: organization/shared; authority: place/local; authority: place/shared; authority: location/local,"",not in materials_2_0_0
materials_1_0_5,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Accession date,Earliest/Single qualifier,accessionDateGroup,dateEarliestSingleQualifier,string,n,n,n,"","",source differences
materials_2_0_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Accession date,Earliest/single qualifier,accessionDateGroup,dateEarliestSingleQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Accession date,Latest qualifier,accessionDateGroup,dateLatestQualifier,string,n,n,n,"","",source differences
materials_2_0_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Accession date,Latest qualifier,accessionDateGroup,dateLatestQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Acquisition date,Earliest/Single qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleQualifier,string,n,n,y,"","",source differences
materials_2_0_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Acquisition date,Earliest/single qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleQualifier,string,n,n,y,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Acquisition date,Latest qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateLatestQualifier,string,n,n,y,"","",source differences
materials_2_0_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Acquisition date,Latest qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateLatestQualifier,string,n,n,y,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Citation Information,Publication > Publication date,Earliest/Single qualifier,citationPublicationInfoGroupList > citationPublicationInfoGroup > publicationDate,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,"","",source differences
materials_2_0_0,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Citation Information,Publication > Publication date,Earliest/single qualifier,citationPublicationInfoGroupList > citationPublicationInfoGroup > publicationDate,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Citation Information,Publication > Publication date,Latest qualifier,citationPublicationInfoGroupList > citationPublicationInfoGroup > publicationDate,dateLatestQualifier,string,n,n,as part of larger repeating group,"","",source differences
materials_2_0_0,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Citation Information,Publication > Publication date,Latest qualifier,citationPublicationInfoGroupList > citationPublicationInfoGroup > publicationDate,dateLatestQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Citation Information,Resource identifier > Capture date,Earliest/Single qualifier,citationResourceIdentGroupList > citationResourceIdentGroup > captureDate,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,"","",source differences
materials_2_0_0,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Citation Information,Resource identifier > Resource identifier capture date,Earliest/single qualifier,citationResourceIdentGroupList > citationResourceIdentGroup > captureDate,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Citation Information,Resource identifier > Capture date,Latest qualifier,citationResourceIdentGroupList > citationResourceIdentGroup > captureDate,dateLatestQualifier,string,n,n,as part of larger repeating group,"","",source differences
materials_2_0_0,citation,ns2:citations_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Citation Information,Resource identifier > Resource identifier capture date,Latest qualifier,citationResourceIdentGroupList > citationResourceIdentGroup > captureDate,dateLatestQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Object Production Information,Production date,Earliest/Single qualifier,objectProductionDateGroupList > objectProductionDateGroup,dateEarliestSingleQualifier,string,n,n,y,"","",source differences
materials_2_0_0,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Object Production Information,Production date,Earliest/single qualifier,objectProductionDateGroupList > objectProductionDateGroup,dateEarliestSingleQualifier,string,n,n,y,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Object Production Information,Production date,Latest qualifier,objectProductionDateGroupList > objectProductionDateGroup,dateLatestQualifier,string,n,n,y,"","",source differences
materials_2_0_0,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Object Production Information,Production date,Latest qualifier,objectProductionDateGroupList > objectProductionDateGroup,dateLatestQualifier,string,n,n,y,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Object Description Information,Content > Content date,Earliest/Single qualifier,contentDateGroup,dateEarliestSingleQualifier,string,n,n,n,"","",source differences
materials_2_0_0,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Object Description Information,Content > Content date,Earliest/single qualifier,contentDateGroup,dateEarliestSingleQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Object Description Information,Content > Content date,Latest qualifier,contentDateGroup,dateLatestQualifier,string,n,n,n,"","",source differences
materials_2_0_0,collectionobject,ns2:collectionobjects_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Object Description Information,Content > Content date,Latest qualifier,contentDateGroup,dateLatestQualifier,string,n,n,n,option list: dateQualifiers,", +, +/-, -",source differences
materials_1_0_5,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservator,Conservation Treatment Information,"",Conservator,conservators,conservator,string,n,y,n,authority: person/local; authority: person/shared,"",source differences
materials_2_0_0,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservator,Conservation Treatment Information,"",Conservator,conservators,conservator,string,n,y,n,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",source differences
materials_1_0_5,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherParty,Conservation Treatment Information,Other treatment party,Other treatment party name,otherPartyGroupList > otherPartyGroup,otherParty,string,n,n,y,authority: person/local; authority: person/shared,"",source differences
materials_2_0_0,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherParty,Conservation Treatment Information,Other treatment party,Other treatment party name,otherPartyGroupList > otherPartyGroup,otherParty,string,n,n,y,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",source differences
