profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
anthro_4_0_0,collectionobject,ns2:collectionobjects_nagpra,ns2:collectionobjects_nagpra,collectionobjects_nagpra.nagpraDetermCulture,Repatriation and NAGPRA Compliance Information,Cultural determination,Cultural determination culture,nagpraDetermGroupList > nagpraDetermGroup,nagpraDetermCulture,string,n,n,y,authority: concept/archculture,"",not in anthro_2_1_2
anthro_4_0_0,collectionobject,ns2:collectionobjects_nagpra,ns2:collectionobjects_nagpra,collectionobjects_nagpra.nagpraDetermType,Repatriation and NAGPRA Compliance Information,Cultural determination,Cultural determination type,nagpraDetermGroupList > nagpraDetermGroup,nagpraDetermType,string,n,n,y,vocabulary: nagpradetermtype,"",not in anthro_2_1_2
anthro_4_0_0,collectionobject,ns2:collectionobjects_nagpra,ns2:collectionobjects_nagpra,collectionobjects_nagpra.nagpraDetermBy,Repatriation and NAGPRA Compliance Information,Cultural determination,Cultural determination by,nagpraDetermGroupList > nagpraDetermGroup,nagpraDetermBy,string,n,n,y,authority: person/local; authority: organization/local,"",not in anthro_2_1_2
anthro_4_0_0,collectionobject,ns2:collectionobjects_nagpra,ns2:collectionobjects_nagpra,collectionobjects_nagpra.nagpraDetermNote,Repatriation and NAGPRA Compliance Information,Cultural determination,Cultural determination note,nagpraDetermGroupList > nagpraDetermGroup,nagpraDetermNote,string,n,n,y,"","",not in anthro_2_1_2
anthro_4_0_0,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.currentOwner,Object Entry Information,"",Current owner,currentOwners,currentOwner,string,n,y,n,authority: person/local; authority: organization/local,"",not in anthro_2_1_2
anthro_4_0_0,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.depositor,Object Entry Information,Depositor,Depositor name,depositorGroupList > depositorGroup,depositor,string,n,n,y,authority: person/local; authority: organization/local,"",not in anthro_2_1_2
anthro_4_0_0,intake,ns2:intakes_common,ns2:intakes_common,intakes_common.depositorsRequirements,Object Entry Information,Depositor,Depositor requirements,depositorGroupList > depositorGroup,depositorsRequirements,string,n,n,y,"","",not in anthro_2_1_2
anthro_4_0_0,media,ns2:media_common,ns2:media_common,media_common.publishTo,Media Handling Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,"",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactName,Organization Information,Contact person,Contact name,contactGroupList > contactGroup,contactName,string,n,n,y,authority: person/local,"",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactRole,Organization Information,Contact person,Contact role,contactGroupList > contactGroup,contactRole,string,n,n,y,vocabulary: contactrole,"",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ns2:organizations_common,organizations_common.contactStatus,Organization Information,Contact person,Contact status,contactGroupList > contactGroup,contactStatus,string,n,n,y,vocabulary: contactstatus,"",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateDisplayDate,Organization Information,Contact person > Contact date,Display date,contactGroupList > contactGroup > contactDateGroup,dateDisplayDate,string,n,n,as part of larger repeating group,"","",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.datePeriod,Organization Information,Contact person > Contact date,Period,contactGroupList > contactGroup > contactDateGroup,datePeriod,string,n,n,as part of larger repeating group,"","",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateAssociation,Organization Information,Contact person > Contact date,Association,contactGroupList > contactGroup > contactDateGroup,dateAssociation,string,n,n,as part of larger repeating group,"","",not in anthro_2_1_2
anthro_4_0_0,organization,ns2:organizations_common,ext.structuredDate,ext.structuredDate.dateNote,Organization Information,Contact person > Contact date,Note,contactGroupList > contactGroup > contactDateGroup,dateNote,string,n,n,as part of larger repeating group,"","",not in anthro_2_1_2
