"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,structured date group,string,string,structured date group,string,string,string,string,string,string,boolean,string,string,float,string,float,string,float,string,float,string,string,string,string,string,float,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,y,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
REPEATING FIELD GROUP,"","","","","","","","","",acquisitionDonorGroupList < acquisitionDonorGroup,acquisitionDonorGroupList < acquisitionDonorGroup,acquisitionDonorGroupList < acquisitionDonorGroup,"","","","","","","","","","","","","",acquisitionFundingList < acquisitionFunding,acquisitionFundingList < acquisitionFunding,acquisitionFundingList < acquisitionFunding,acquisitionFundingList < acquisitionFunding,acquisitionFundingList < acquisitionFunding,"",""
VALUE SOURCE TYPE,na,na,authority,na,na,vocabulary,authority,authority,authority,authority,authority,na,na,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,na,na,na,na,vocabulary,na,authority,authority,na,na,na
VALUE SOURCE,"","",person/local,"","",accaquisitionmethod,person/local,organization/local,concept/ethculture,person/local,organization/local,"","",currency,"",currency,"",currency,"",currency,"","","","","",currency,"",person/local,organization/local,"","",""
CSVHEADER,acquisitionReferenceNumber,accessionDateGroup,acquisitionAuthorizer,acquisitionAuthorizerDate,acquisitionDateGroup,acquisitionMethod,acquisitionSourcePersonLocal,acquisitionSourceOrganizationLocal,acquisitionSourceConceptEthculture,donorPersonLocal,donorOrganizationLocal,donorAnon,transferOfTitleNumber,objectOfferPriceCurrency,objectOfferPriceValue,objectPurchaseOfferPriceCurrency,objectPurchaseOfferPriceValue,objectPurchasePriceCurrency,objectPurchasePriceValue,originalObjectPurchasePriceCurrency,originalObjectPurchasePriceValue,acquisitionReason,acquisitionNote,acquisitionProvisos,acquisitionDescription,acquisitionFundingCurrency,acquisitionFundingValue,acquisitionFundingSourcePersonLocal,acquisitionFundingSourceOrganizationLocal,acquisitionFundingSourceProvisos,creditLine,fieldCollectionEventName
