"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","",""
REQUIRED,y,y,y,n,n,n,n,n,n,n
DATA TYPE,string,string,date,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,y,y,n
REPEATING FIELD GROUP,"","","","","","","","","",""
VALUE SOURCE TYPE,authority,authority,na,authority,optionlist,na,vocabulary,vocabulary,authority,na
VALUE SOURCE,location/local,organization/local,"",location/crate,"dangerous, suitable, temporary, unsuitable","",reasonformove,movementmethod,person/local,""
CSVHEADER,currentLocationLocationLocal,currentLocationOrganizationLocal,locationDate,crate,currentLocationFitness,currentLocationNote,reasonForMove,movementMethod,locationHandler,movementNote
