"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,structured date group,string,string,string,string
REPEATABLE FIELD?,n,y,y,n,n,n,y,n,n,n
REPEATING FIELD GROUP,"","","","","","","","","",""
VALUE SOURCE TYPE,na,authority,authority,authority,authority,na,vocabulary,vocabulary,na,na
VALUE SOURCE,"",person/local,organization/local,person/local,organization/local,"",objexitmethod,objexitreason,"",""
CSVHEADER,exitNumber,newOwnerPersonLocal,newOwnerOrganizationLocal,depositorPersonLocal,depositorOrganizationLocal,exitDateGroup,exitMethod,exitReason,exitNote,packingNote
