"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,date,date,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
VALUE SOURCE,"",vocabulary: program,personauthorities/person,personauthorities/person_shared,orgauthorities/organization,orgauthorities/organization_shared,"","",""
CSVHEADER,title,responsibleDepartment,ownerPersonLocal,ownerPersonShared,ownerOrganizationLocal,ownerOrganizationShared,groupEarliestSingleDate,groupLatestDate,scopeNote
