"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,date,string,string,string,string,string,string,string,string,string,date,string,date,string,string,date,string,date,string,string,date,string,string,string,string,string,string,string,date,date,date
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n/a,n/a,n/a,n/a,y,y,y,y
VALUE SOURCE,"","","observed, xrayed","cleaning, conservation, damagedintransit, inventory, loanin, newacquisition",personauthorities/person,personauthorities/person_shared,orgauthorities/organization,orgauthorities/organization_shared,"","high, low, medium","high, low, medium","","complete, fragmented, incomplete","","","","","exhibitableneedswork, injeopardy, needsnowork, notexhibitablestable","","","","","","","","","","","","","",""
CSVHEADER,conditionCheckRefNumber,conditionCheckAssessmentDate,conditionCheckMethod,conditionCheckReason,conditionCheckerPersonLocal,conditionCheckerPersonShared,conditionCheckerOrganizationLocal,conditionCheckerOrganizationShared,conditionCheckNote,objectAuditCategory,conservationTreatmentPriority,nextConditionCheckDate,completeness,completenessDate,completenessNote,techAssessment,techAssessmentDate,condition,conditionDate,conditionNote,envConditionNote,envConditionNoteDate,displayRecommendations,handlingRecommendations,installationRecommendations,envRecommendations,specialRequirements,legalRequirements,legalReqsHeld,legalReqsHeldBeginDate,legalReqsHeldEndDate,legalReqsHeldRenewDate
