"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,y,y,y,y,n
IN REPEATING FIELD GROUP?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,n,n,n/a,n,n,n,n,n/a
CSVHEADER,identificationNumber,title,name,mimeType,length,externalUrl,contributorPersonLocal,contributorPersonShared,contributorOrganizationLocal,contributorOrganizationShared,creatorPersonLocal,creatorPersonShared,creatorOrganizationLocal,creatorOrganizationShared,copyrightStatement,type,publishTo,dateGroup,source,publicartRightsHolderPersonLocal,publicartRightsHolderPersonShared,publicartRightsHolderOrganizationLocal,publicartRightsHolderOrganizationShared,description
