"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,y,n,y,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,n,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,n,n/a,n/a,n/a,n,n/a,n,n/a,n/a,n/a,n/a,n/a,n/a
CSVHEADER,identificationNumber,title,publishTo,name,mimeType,length,externalUrl,contributorPersonLocal,contributorPersonShared,contributorOrganizationLocal,contributorOrganizationShared,creatorPersonLocal,creatorPersonShared,creatorOrganizationLocal,creatorOrganizationShared,relation,type,coverageMaterialLocal,coverageMaterialShared,coveragePlace,dateGroup,source,subject,copyrightStatement,rightsHolderPersonLocal,rightsHolderPersonShared,rightsHolderOrganizationLocal,rightsHolderOrganizationShared,description
