"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,integer,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,float,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,string,string,date,structured date group,string,string,string,string,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n/a,n/a,n/a,n,n,y,y,n,n,y,y,y,y,y,y,y,n/a,n/a,n,n,n/a,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n,n,n,n,n/a,y,y,y,n/a,y,y,n,n,n,n/a,n/a,n/a,n/a,n/a,n/a,n/a,y,y,y,n/a,n,n,n/a,n,n/a,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,y,n/a,n,n/a,n/a,n/a,n,y,y,y,y,y,n/a,y,y,y,n/a,n,n,n,n,n/a,n,y,y,n,n,n,n,n,n,n,y,y,y,y,n/a,y,y,y,y,n/a
VALUE SOURCE,"","library-collection, permanent-collection, study-collection, teaching-collection",taxonomyauthority/taxon,vocabulary: taxonqualifier,personauthorities/person,"",orgauthorities/organization,vocabulary: taxonkind,"","","","",vocabulary: languages,taxonomyauthority/taxon,taxonomyauthority/common_ta,vocabulary: hybridparentqualifier,"",conceptauthorities/labeltext,conceptauthorities/labeltext,"","","",vocabulary: publishto,"","lender, obsolete, previous, serial, unknown","",vocabulary: inventorystatus,vocabulary: typespecimenkind,orgauthorities/organization,"","",taxonomyauthority/taxon,taxonomyauthority/common_ta,"","female, male",vocabulary: botanicalphase,vocabulary: herbariumform,"","no, yes","","","","","","",conceptauthorities/concept,"","","","","",orgauthorities/organization,"","","","","",personauthorities/person,"","","","","","","",orgauthorities/organization,"",personauthorities/person,"","","","","","","","",personauthorities/person,orgauthorities/organization,"","limited, open, restricted","company, private, public","","bequest, exchange, gift, purchase, transfer, treasure","",vocabulary: currency,"",citationauthorities/citation,citationauthorities/worldcat,"","",personauthorities/person,orgauthorities/organization,"",vocabulary: collectionmethod,"",taxonomyauthority/taxon,taxonomyauthority/common_ta,"",vocabulary: assoctaxoninteraction,"",placeauthorities/place,"",vocabulary: languages,"assigned-by-artist, collection, generic, popular, series, trade","",vocabulary: languages,"","archaic, current","group, subgroup","art-and-architecture-thesaurus, nomenclature","classified, denomination, simple, taxonomic, typological",vocabulary: languages,"","base, frame, framed, image-size, mount, paper-size, plate-size, unframed","","area, base, circumference, count, depth, diameter, height, length, running-time, target, volume, weight, width",personauthorities/person,orgauthorities/organization,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station","","carats, centimeters, cubic-centimeters, feet, inches, kilograms, liters, meters, millimeters, minutes, ounces, pixels, pounds, square-feet, stories, tons","","","",personauthorities/person,"",orgauthorities/organization,"","","antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings","","","","","","","","","","","magnetic-tape-type, record-speed","78, metal",rpm,"",vocabulary: languages,"",conceptauthorities/concept,conceptauthorities/material_ca,"","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","","food, furniture","",personauthorities/person,personauthorities/ulan_pa,"","carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",orgauthorities/organization,orgauthorities/ulan_oa,"","","","","","","","","",""
CSVHEADER,objectNumber,collection,determinationTaxon,determinationQualifier,determinationBy,determinationDateGroup,determinationInstitution,determinationKind,determinationReference,determinationRefPage,determinationNote,localName,localNameLanguage,herbHybridParentLocal,herbHybridParentCommon,herbHybridParentQualifier,hybridName,labelHeader,labelFooter,sheetNumber,sheetCount,briefDescription,publishTo,numberValue,numberType,comment,inventoryStatus,herbTypeSpecimenKind,herbTypeSpecimenAssertionBy,herbTypeSpecimenReference,herbTypeSpecimenRefPage,herbTypeSpecimenBasionymLocal,herbTypeSpecimenBasionymCommon,herbTypeSpecimenNotes,sex,phase,form,style,postToPublic,assocActivity,assocActivityType,assocActivityNote,assocObject,assocObjectType,assocObjectNote,assocConcept,assocConceptType,assocConceptNote,assocCulturalContext,assocCulturalContextType,assocCulturalContextNote,assocOrganization,assocOrganizationType,assocOrganizationNote,assocPeople,assocPeopleType,assocPeopleNote,assocPerson,assocPersonType,assocPersonNote,assocPlace,assocPlaceType,assocPlaceNote,assocEventName,assocEventNameType,assocEventOrganization,assocEventPeople,assocEventPerson,assocEventPlace,assocEventNote,assocStructuredDateGroup,assocDateType,assocDateNote,objectHistoryNote,usage,usageNote,ownerPerson,ownerOrganization,ownershipDateGroup,ownershipAccess,ownershipCategory,ownershipPlace,ownershipExchangeMethod,ownershipExchangeNote,ownershipExchangePriceCurrency,ownershipExchangePriceValue,referenceLocal,referenceWorldcat,referenceNote,fieldCollectionDateGroup,fieldCollectorPerson,fieldCollectorOrganization,fieldCollectionNumber,fieldCollectionMethod,habitat,herbAssocTaxonLocal,herbAssocTaxonCommon,herbAssocTaxonCommonName,herbAssocTaxonInteraction,herbCollectionLocationVerbatim,herbCollectionPlace,title,titleLanguage,titleType,titleTranslation,titleTranslationLanguage,objectName,objectNameCurrency,objectNameLevel,objectNameSystem,objectNameType,objectNameLanguage,objectNameNote,measuredPart,dimensionSummary,dimension,measuredByPerson,measuredByOrganization,measurementMethod,value,measurementUnit,valueQualifier,valueDate,objectProductionDateGroup,objectProductionPerson,objectProductionPersonRole,objectProductionOrganization,objectProductionOrganizationRole,numberOfObjects,responsibleDepartment,distinguishingFeatures,copyNumber,editionNumber,color,material,materialComponent,materialComponentNote,materialName,materialSource,physicalDescription,technicalAttribute,technicalAttributeMeasurement,technicalAttributeMeasurementUnit,contentDescription,contentLanguage,contentActivity,contentConceptAssociated,contentConceptMaterial,contentDateGroup,contentPosition,contentObject,contentObjectType,contentPeople,contentPersonLocal,contentPersonUlan,contentPlace,contentScript,contentOrganizationLocal,contentOrganizationUlan,contentEventName,contentEventNameType,contentOther,contentOtherType,contentNote,technique,techniqueType,objectProductionPlace,objectProductionPlaceRole,objectProductionNote
