"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,string,string,date,string,string,string,string,string,string,string,date,string,string,date,string,string,date,date,date
REPEATABLE FIELD?,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
IN REPEATING FIELD GROUP?,n/a,n/a,y,y,y,y,y,y,y,y,y,y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
VALUE SOURCE,"","analysis, conservationotherrequestedservices, exhibition, longtermcollectionsmanagementandstorage, photography, research, scientificorexhibitpreparation",vocabulary: loanoutstatus,"","",personauthorities/person,personauthorities/ulan_pa,personauthorities/person,orgauthorities/organization,personauthorities/person,personauthorities/person,"",personauthorities/person,personauthorities/person,"","","","","",""
CSVHEADER,loanInNumber,loanPurpose,loaninStatusLHMC,loaninStatusDateLHMC,loaninStatusNoteLHMC,loaninStatusAuthorizerLHMCLocal,loaninStatusAuthorizerLHMCUlan,lenderPerson,lenderOrganization,lendersContact,lendersAuthorizer,lendersAuthorizationDate,borrowersContact,borrowersAuthorizer,borrowersAuthorizationDate,loanInConditions,loanInNote,loanInDate,loanReturnDate,loanRenewalApplicationDate
