"Before importing CSV, delete initial column and rows above the CSVHEADER row","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
REQUIRED,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
DATA TYPE,string,integer,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,string,string,string,string,string,string,string,string,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,date,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,structured date group,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
REPEATABLE FIELD?,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,y,n,n,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
REPEATING FIELD GROUP,"","",otherNumberList < otherNumber,otherNumberList < otherNumber,"","","","","",materialGroupList < materialGroup,materialGroupList < materialGroup,materialHandlingGroupList < materialHandlingGroup,materialHandlingGroupList < materialHandlingGroup,materialContainerGroupList < materialContainerGroup,materialContainerGroupList < materialContainerGroup,materialConditionGroupList < materialConditionGroup,materialConditionGroupList < materialConditionGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,annotationGroupList < annotationGroup,"",materialFinishGroupList < materialFinishGroup,materialFinishGroupList < materialFinishGroup,"","","",measuredPartGroupList < measuredPartGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,titleGroupList < titleGroup,titleGroupList < titleGroup,titleGroupList < titleGroup,titleGroupList < titleGroup < titleTranslationSubGroupList < titleTranslationSubGroup,titleGroupList < titleGroup < titleTranslationSubGroupList < titleTranslationSubGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,objectNameList < objectNameGroup,measuredPartGroupList < measuredPartGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,measuredPartGroupList < measuredPartGroup < dimensionSubGroupList < dimensionSubGroup,"",objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionPersonGroupList < objectProductionPersonGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,objectProductionOrganizationGroupList < objectProductionOrganizationGroup,"","","","","",materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,materialGroupList < materialGroup,"",technicalAttributeGroupList < technicalAttributeGroup,technicalAttributeGroupList < technicalAttributeGroup,technicalAttributeGroupList < technicalAttributeGroup,"","","","","","",contentObjectGroupList < contentObjectGroup,contentObjectGroupList < contentObjectGroup,"","","","","","","",contentEventNameGroupList < contentEventNameGroup,contentEventNameGroupList < contentEventNameGroup,contentOtherGroupList < contentOtherGroup,contentOtherGroupList < contentOtherGroup,"",techniqueGroupList < techniqueGroup,techniqueGroupList < techniqueGroup,objectProductionPlaceGroupList < objectProductionPlaceGroup,objectProductionPlaceGroupList < objectProductionPlaceGroup,"",referenceGroupList < referenceGroup,referenceGroupList < referenceGroup,referenceGroupList < referenceGroup
VALUE SOURCE TYPE,na,na,na,optionlist,optionlist,optionlist,vocabulary,vocabulary,na,authority,authority,vocabulary,na,vocabulary,na,vocabulary,na,vocabulary,na,na,authority,authority,optionlist,vocabulary,na,na,vocabulary,na,na,optionlist,na,optionlist,na,vocabulary,optionlist,na,vocabulary,na,optionlist,optionlist,optionlist,optionlist,vocabulary,na,optionlist,authority,authority,authority,authority,optionlist,na,na,na,authority,authority,na,authority,authority,na,optionlist,authority,na,na,na,na,na,na,na,na,optionlist,optionlist,optionlist,na,vocabulary,na,na,na,optionlist,na,optionlist,na,authority,authority,na,optionlist,authority,authority,na,na,na,na,na,na,na,na,na,na,authority,authority,na
VALUE SOURCE,"","","","QR code, barcode, callnumber, lender, obsolete, previous, serial, unknown","circulating, non_circulating","approved, in-process, new, temporary",publishto,inventorystatus,"",material/local,material/shared,materialhandling,"",materialcontainer,"",materialcondition,"",annotationtype,"","",person/local,person/shared,"fragment, mock_up, product, prototype, sample",materialfinish,"","",materialgenericcolor,"","","area, base, circumference, count, depth, diameter, height, length, running-time, target, volume, weight, width","","carats, centimeters, cubic-centimeters, feet, inches, kilograms, liters, meters, millimeters, minutes, ounces, pixels, pounds, square-feet, stories, tons","",languages,"assigned-by-artist, collection, generic, popular, series, trade","",languages,"","archaic, current","group, subgroup","art-and-architecture-thesaurus, nomenclature","classified, denomination, simple, taxonomic, typological",languages,"","base, frame, framed, image-size, mount, paper-size, plate-size, unframed",person/local,person/shared,organization/local,organization/shared,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station","","","",person/local,person/shared,"",organization/local,organization/shared,"","antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings",work/local,"","","","","","","","","magnetic-tape-type, record-speed","78, metal",rpm,"",languages,"","","","back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso","","food, furniture","",person/local,person/shared,"","carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",organization/local,organization/shared,"","","","","","","","","","",citation/local,citation/shared,""
CSVHEADER,objectNumber,numberOfObjects,numberValue,numberType,collection,recordStatus,publishTo,inventoryStatus,briefDescription,materialLocal,materialShared,handling,handlingNote,container,containerNote,condition,conditionNote,annotationType,annotationNote,annotationDate,annotationAuthorLocal,annotationAuthorShared,objectStatus,finish,finishNote,color,materialGenericColor,materialPhysicalDescription,dimensionSummary,dimension,value,measurementUnit,title,titleLanguage,titleType,titleTranslation,titleTranslationLanguage,objectName,objectNameCurrency,objectNameLevel,objectNameSystem,objectNameType,objectNameLanguage,objectNameNote,measuredPart,measuredByPersonLocal,measuredByPersonShared,measuredByOrganizationLocal,measuredByOrganizationShared,measurementMethod,valueQualifier,valueDate,objectProductionDateGroup,objectProductionPersonLocal,objectProductionPersonShared,objectProductionPersonRole,objectProductionOrganizationLocal,objectProductionOrganizationShared,objectProductionOrganizationRole,responsibleDepartment,namedCollection,distinguishingFeatures,copyNumber,editionNumber,materialComponent,materialComponentNote,materialName,materialSource,physicalDescription,technicalAttribute,technicalAttributeMeasurement,technicalAttributeMeasurementUnit,contentDescription,contentLanguage,contentActivity,contentConcept,contentDateGroup,contentPosition,contentObject,contentObjectType,contentPeople,contentPersonLocal,contentPersonShared,contentPlace,contentScript,contentOrganizationLocal,contentOrganizationShared,contentEventName,contentEventNameType,contentOther,contentOtherType,contentNote,technique,techniqueType,objectProductionPlace,objectProductionPlaceRole,objectProductionNote,referenceLocal,referenceShared,referenceNote
